,Name,Season,Month,Knots,km/h,mph,mbar
0,Hurricane #3,1853,"August, September",130.0,240,150,924
1,"""1856 Last Island Hurricane""",1856,August,130.0,240,150,934
2,Hurricane #6,1866,"September, October",120.0,220,140,938
3,Hurricane #7,1878,"September, October",120.0,220,140,938
4,Hurricane #2,1880,August,130.0,240,150,931
5,Hurricane #8,1880,"September, October",120.0,220,140,928
6,Hurricane #6,1882,October,120.0,220,140,975
7,Indianola Hurricane of 1886,1886,August,135.0,250,155,925
8,Hurricane #10,1893,"September, October",115.0,215,130,948
9,Hurricane #6,1894,October,115.0,215,130,931
10,Hurricane #7,1898,"September, October",115.0,215,130,930
11,Hurricane #3,1899,"August, September",130.0,240,150,930
12,Galveston Hurricane of 1900,1900,"August, September",125.0,230,145,936
13,Hurricane #4,1906,"August, September",115.0,215,130,950
14,1910 Cuba hurricane,1910,October,130.0,240,150,924
15,1915 Galveston hurricane,1915,August,125.0,230,145,940
16,1915 New Orleans hurricane,1915,"September, October",125.0,230,145,931
17,1916 Texas hurricane,1916,August,115.0,215,130,932
18,1917 Nueva Gerona hurricane,1917,September,130.0,240,150,928
19,1919 Florida Keys hurricane,1919,September,130.0,240,150,927
20,1921 Tampa Bay hurricane,1921,October,120.0,220,140,941
21,1926 Nassau hurricane,1926,"July, August",120.0,220,140,≤ 967
22,Hurricane #4,1926,September,120.0,220,140,≤ 957
23,1926 Miami hurricane,1926,September,130.0,240,150,930
24,1926 Havana–Bermuda hurricane,1926,October,130.0,240,150,934
25,1929 Bahamas hurricane,1929,"September, October",135.0,250,155,924
26,1930 Dominican Republic hurricane,1930,"August, September",135.0,250,155,933
27,1931 Belize hurricane,1931,September,115.0,215,130,≤ 952
28,1932 Freeport hurricane,1932,August,130.0,240,150,935
29,1932 San Ciprian hurricane,1932,September,125.0,230,145,943
30,1933 Chesapeake–Potomac hurricane,1933,August,120.0,220,140,≤ 940
31,1933 Treasure Coast hurricane,1933,"August, September",120.0,220,140,945
32,1933 Outer Banks hurricane,1933,September,120.0,220,140,≤ 947
33,Hurricane #2,1935,August,115.0,215,130,≤ 955
34,1935 Cuba hurricane,1935,"September, October",120.0,220,140,≤ 945
35,Hurricane #5,1939,October,120.0,220,140,≤ 941
36,Hurricane #4,1941,September,115.0,215,130,≤ 957
37,Hurricane #3,1943,August,120.0,220,140,–
38,1944 Great Atlantic hurricane,1944,September,125.0,230,145,≤ 933
39,1944 Cuba–Florida hurricane,1944,October,125.0,230,145,937
40,1945 Homestead hurricane,1945,September,115.0,215,130,949
